,證券代碼,年月日,收盤價(元),code,check1
0,0050 元大台灣50,2018-04-30,80.0,50,50.0
1,0051 元大中型100,2018-04-30,32.02,51,51.0
2,0052 富邦科技,2018-04-30,53.6,52,52.0
3,0053 元大電子,2018-04-30,34.52,53,53.0
4,0054 元大台商50,2018-04-30,23.23,54,54.0
5,0055 元大MSCI金融,2018-04-30,17.2,55,55.0
6,0056 元大高股息,2018-04-30,25.4,56,56.0
7,0057 富邦摩台,2018-04-30,49.31,57,57.0
8,0058 富邦發達,2018-04-30,45.45,58,58.0
9,0059 富邦金融,2018-04-30,42.0,59,59.0
11,006201 元大富櫃50,2018-04-30,13.44,6201,6201.0
12,006203 元大MSCI台灣,2018-04-30,37.24,6203,6203.0
13,006204 永豐臺灣加權,2018-04-30,52.55,6204,6204.0
17,006208 富邦台50,2018-04-30,46.9,6208,6208.0
81,00690 兆豐藍籌30,2018-04-30,22.0,690,690.0
83,00692 富邦公司治理,2018-04-30,21.04,692,692.0
92,00701 國泰臺灣低波動30,2018-04-30,21.0,701,701.0
104,00713 元大台灣高息低波,2018-04-30,30.32,713,713.0
